Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M
0.03039941,0.03501645,0.00763216,0.04784372,0.08534321,0.54761905,0.00000000,0.00000000,0.15734524,0.23029911,0.11801588,0.26144540,0.24964495,0.40360246,0.17085289,0.31340279,0.34082107,0.40994697,0.55951715,0.57775405,0.51458777,0.60719533,0.57181968,0.57666934,0.56110704,0.46800936,0.27916087,0.41186130,-1,-1,-1,-1
0.04295919,0.00540739,0.03149323,0.04829514,0.03649149,0.54761905,0.00000000,0.00000000,0.10667388,0.29067785,0.14969421,0.27552895,0.17094449,0.41360740,0.17455679,0.29214954,0.38800914,0.45739754,0.55555660,0.58984174,0.51748103,0.65234759,0.58918887,0.58169212,0.52581718,0.50595408,0.38603889,0.51187398,-1,-1,-1,-1
0.03026723,0.02448403,0.04349472,0.01817788,0.08008469,0.55555556,0.04347826,0.07692308,0.11538184,0.29232763,0.16656079,0.28455908,0.17422820,0.41777327,0.17936098,0.27200576,0.41729275,0.46607349,0.49033421,0.56355641,0.48710187,0.60969338,0.55349410,0.52002903,0.49577334,0.54236505,0.42925792,0.55874052,-1,-1,-1,-1
0.02204326,0.00509642,0.01882724,0.03305315,0.06550899,0.56349206,0.04347826,0.07692308,0.12741073,0.30960920,0.18958427,0.30521928,0.18335946,0.43588529,0.20277747,0.26987947,0.42876490,0.46503657,0.45491151,0.54302333,0.47351365,0.57218406,0.51592157,0.51542717,0.49475765,0.56295791,0.43395268,0.57172792,-1,-1,-1,-1
0.03222719,0.01888247,0.02609614,0.05035344,0.02350570,0.57142857,0.00000000,0.00000000,0.14990189,0.32883000,0.19915326,0.31187601,0.21297778,0.44455703,0.21243978,0.28861677,0.41455297,0.45711885,0.44789127,0.52786215,0.47395287,0.55788808,0.51034217,0.49894056,0.50900330,0.53683773,0.42320574,0.53297721,-1,-1,-1,-1
0.03290050,0.01729519,0.03804557,0.04145608,0.02129108,0.56349206,0.04347826,0.07692308,0.14434750,0.30841169,0.19916986,0.30340772,0.22388243,0.42328074,0.20544307,0.27417754,0.40307001,0.42818188,0.48662478,0.54521741,0.50528885,0.60369861,0.56122065,0.50536555,0.54342353,0.45762870,0.41785103,0.47874778,-1,-1,-1,-1
0.02033889,0.01228893,0.02168297,0.02790102,0.06005525,0.55555556,0.04347826,0.07692308,0.16832654,0.33491658,0.22544569,0.32447580,0.26437174,0.44862051,0.24493072,0.30582444,0.41215992,0.44204169,0.50521905,0.55297508,0.51602290,0.63521279,0.60257526,0.46295146,0.56509496,0.40742021,0.44606789,0.50963520,-1,-1,-1,-1
0.03567193,0.04843580,0.02180555,0.05741124,0.06019295,0.54761905,0.00000000,0.00000000,0.17990064,0.33761129,0.25020421,0.35670299,0.28651312,0.47070143,0.30116455,0.35600993,0.44692705,0.46166495,0.51545486,0.56496090,0.51429114,0.65935120,0.63750365,0.41236419,0.57663908,0.42834408,0.48316391,0.63351951,-1,-1,-1,-1
0.07129827,0.03552226,0.04583621,0.10497128,0.09753279,0.54761905,0.00000000,0.00000000,0.20884892,0.37236930,0.28469838,0.39599889,0.32342301,0.50625796,0.34633331,0.41517290,0.44923165,0.48554137,0.51211459,0.58174352,0.51717909,0.67828484,0.65488085,0.39224316,0.56602862,0.46950562,0.50685293,0.69276304,-1,-1,-1,-1
0.04873806,0.08870679,0.03912539,0.06619832,0.10017302,0.54761905,0.00000000,0.00000000,0.21011940,0.37819188,0.29871609,0.41319078,0.32168218,0.50504234,0.35493774,0.43570990,0.44241412,0.49104549,0.51650459,0.59991610,0.52107953,0.68538471,0.66028383,0.40992106,0.56468014,0.49559222,0.50243384,0.70777308,-1,-1,-1,-1
0.01589375,0.01127798,0.02453611,0.01061236,0.08574465,0.54761905,0.00000000,0.00000000,0.21722831,0.35155100,0.27788358,0.38289613,0.31250080,0.47842585,0.31830669,0.39115837,0.43835651,0.49661005,0.55738736,0.60901793,0.54892149,0.67999466,0.67013179,0.46985982,0.55897978,0.49818399,0.48185187,0.65119331,-1,-1,-1,-1
0.04294843,0.05247284,0.03749196,0.05299503,0.10175757,0.55555556,0.04347826,0.07692308,0.21747729,0.32026146,0.25436347,0.36736621,0.30714404,0.46488928,0.29642864,0.37258923,0.41957055,0.47035999,0.56120186,0.61403734,0.54259537,0.66884264,0.65579260,0.50180479,0.54818183,0.51274951,0.43563994,0.64020654,-1,-1,-1,-1
