Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M
0.04673630,0.05174372,0.07016655,0.02468124,0.09166247,0.53846154,0.00000000,0.00000000,0.45320599,0.44628917,0.50892604,0.45257177,0.60388584,0.39889255,0.47941267,0.49891998,0.56192386,0.59795488,0.47063103,0.22921401,0.66424917,0.33120612,0.38420126,0.51943744,0.59064764,0.53067467,0.43893905,0.38605480,-1,1,-1,-1
0.06071962,0.03208999,0.09023413,0.03194683,0.10776439,0.55128205,0.04166667,0.06250000,0.44671863,0.41907498,0.46045845,0.41634853,0.60201702,0.37263907,0.44119034,0.58369820,0.54452480,0.57180497,0.47575313,0.17265032,0.68205719,0.28182986,0.35127501,0.53836930,0.56816409,0.53346744,0.43369089,0.35741416,-1,1,-1,-1
0.10692747,0.09703566,0.07415272,0.10800329,0.10012741,0.55128205,0.08333333,0.00000000,0.41263543,0.29893381,0.37468727,0.34337566,0.53874220,0.27528547,0.40539055,0.47935428,0.49157652,0.50866763,0.46975255,0.20795650,0.68005954,0.33028681,0.38082804,0.52315156,0.61042286,0.49983982,0.43819675,0.33732639,-1,1,-1,-1
0.88761530,1.00000000,0.08805090,0.88092501,0.44728671,0.53846154,0.08333333,0.00000000,0.38952984,0.26382782,0.32284758,0.27490242,0.48409592,0.26307295,0.35797517,0.48114119,0.49327538,0.48364723,0.51950561,0.32555025,0.68555143,0.39694526,0.47964549,0.52296082,0.54290798,0.46342517,0.46381450,0.27834580,-1,1,-1,-1
1.00000000,0.84204201,0.11590513,1.00000000,0.43174770,0.51282051,0.04166667,0.06250000,0.35229311,0.26345829,0.27283468,0.21941832,0.39850746,0.26035439,0.33028610,0.42371587,0.46346326,0.48241171,0.52544501,0.42817722,0.68408836,0.50271841,0.55460751,0.50633799,0.49639550,0.49452435,0.48023114,0.30436721,-1,1,-1,-1
0.23695352,0.23019853,0.11115326,0.21309716,0.13453930,0.50000000,0.00000000,0.00000000,0.35598469,0.28100818,0.28444522,0.22523623,0.41653181,0.27978713,0.32036425,0.43319953,0.46857535,0.49210254,0.52697423,0.44729477,0.68056219,0.50445464,0.55866911,0.51097823,0.50225023,0.53318904,0.43219035,0.29729197,-1,1,-1,-1
0.15869429,0.12020428,0.29067992,0.07432263,0.08619565,0.48717949,0.04166667,0.06250000,0.34258896,0.28436836,0.28564202,0.22441008,0.41251100,0.28966266,0.30466466,0.39032923,0.46816702,0.47742777,0.51259347,0.43826555,0.66059140,0.50416774,0.55135856,0.48337307,0.49477912,0.55207162,0.40436680,0.25570946,-1,1,-1,-1
0.30695833,0.08795239,0.43825514,0.24329275,0.05537700,0.44871795,0.12500000,0.06250000,0.37229094,0.31857884,0.37648313,0.32231355,0.47833867,0.35778105,0.38695723,0.38411188,0.49635676,0.48646918,0.50153637,0.42699139,0.64896920,0.50079050,0.54452302,0.46488227,0.53454846,0.47957076,0.42454402,0.22386988,-1,1,-1,-1
0.40860317,0.05468047,0.26234137,0.40671626,0.09183842,0.38461538,0.16666667,0.00000000,0.38894672,0.38366123,0.43985243,0.39440601,0.51982905,0.42825831,0.44906246,0.44403975,0.52767733,0.51257544,0.51030851,0.46374740,0.65089927,0.57466318,0.58863077,0.45276470,0.52975281,0.45694926,0.49322027,0.23887137,-1,1,-1,-1
0.33812227,0.15374219,0.28216678,0.30341858,0.11050983,0.33333333,0.08333333,0.12500000,0.40312656,0.45460429,0.47662905,0.44121606,0.53748674,0.48796005,0.48904431,0.49370564,0.53442170,0.52319201,0.50115161,0.49176366,0.63904455,0.60732178,0.59684612,0.45655606,0.52171696,0.47060158,0.52642613,0.27379549,-1,1,-1,-1
0.29966397,0.09968861,0.43885239,0.22005890,0.20271297,0.33333333,0.08333333,0.12500000,0.40213084,0.40293850,0.43331970,0.38146913,0.51022354,0.42439996,0.43611857,0.47006547,0.54444494,0.52115957,0.47824621,0.46229131,0.62606921,0.58078256,0.56389879,0.45386456,0.52067422,0.48380079,0.51996755,0.29089686,-1,1,-1,-1
0.28809439,0.11594979,0.41279411,0.19099267,0.25274441,0.41025641,0.25000000,0.12500000,0.36995985,0.31186877,0.35247904,0.28030121,0.44332789,0.32935870,0.33433090,0.38447863,0.54497951,0.51066657,0.45075299,0.42657111,0.60358667,0.53336843,0.51832817,0.44585809,0.51263964,0.49281006,0.49157101,0.28839313,-1,1,-1,-1
0.31644469,0.15579646,0.23063209,0.20526302,0.40022287,0.53846154,0.33333333,0.00000000,0.34730910,0.23661273,0.30561916,0.22843356,0.40154031,0.26096226,0.28137333,0.33526660,0.54031988,0.49254248,0.44704509,0.41226830,0.59219832,0.53141518,0.50532021,0.44543981,0.52667743,0.50004326,0.48773077,0.29854034,-1,1,-1,-1
0.54328905,0.16280578,0.40935946,0.42979206,0.53653453,0.61538462,0.25000000,0.12500000,0.29042492,0.19697482,0.20793260,0.14017236,0.33649921,0.21559869,0.18076458,0.27138830,0.48399384,0.45333014,0.44375138,0.41254298,0.56393836,0.53900660,0.49216315,0.44837598,0.51297468,0.55232313,0.44334458,0.28326038,-1,1,-1,-1
0.83641722,0.24895911,0.80263424,0.52513174,1.00000000,0.64102564,0.08333333,0.12500000,0.25523209,0.22300330,0.17379111,0.12879021,0.28163856,0.21683973,0.14771708,0.25078351,0.43078322,0.42698120,0.44785335,0.42657433,0.55604790,0.56405199,0.49822639,0.45627267,0.51913434,0.56010620,0.41578310,0.28142144,-1,1,-1,-1
0.54719140,0.65546935,0.46999568,0.30429678,0.78112359,0.60256410,0.04166667,0.06250000,0.22777481,0.20366774,0.10769520,0.07568428,0.23215266,0.19528610,0.08786775,0.20018145,0.37373571,0.40373186,0.44145380,0.42108442,0.54934730,0.54709837,0.48167415,0.46317397,0.53366466,0.56685046,0.32767250,0.25383388,-1,1,-1,-1
0.13327629,0.07370687,0.07359793,0.14724323,0.04652432,0.61538462,0.12500000,0.06250000,0.23427825,0.20563927,0.12250153,0.09485660,0.21773685,0.19781118,0.09980594,0.18770245,0.38029118,0.40191148,0.43797607,0.41846903,0.55214472,0.54358050,0.47409402,0.47326421,0.56868726,0.51585021,0.30190647,0.23639877,-1,1,-1,-1
