Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M
0.19945991,0.07167607,0.18799041,0.14299896,0.18448768,0.88888889,0.25000000,0.50000000,0.44736807,0.30808772,0.52622635,0.48743681,0.46696419,0.30261319,0.46489972,0.40674871,0.70926350,0.64473626,0.48322710,0.34133673,0.56853086,0.22426643,0.47983408,0.36190330,0.44905084,0.55468302,0.54298494,0.39627713,-1,-1,-1,-1
0.18414857,0.10484175,0.18312903,0.13774484,0.15084966,0.88888889,0.25000000,0.50000000,0.48948280,0.30956145,0.51745786,0.47744025,0.50717873,0.31773337,0.45917888,0.40336209,0.75023917,0.68737473,0.46102927,0.30511199,0.55426031,0.18698487,0.44057774,0.35597313,0.40611749,0.60229424,0.57337809,0.43288469,-1,-1,-1,-1
0.10539794,0.06570620,0.11955043,0.08799315,0.07556394,0.77777778,0.25000000,0.50000000,0.50317660,0.28010988,0.45821209,0.42272930,0.49922428,0.30605260,0.41734090,0.40391361,0.75764043,0.71142977,0.41643107,0.32125341,0.50634174,0.20513067,0.42676172,0.38577042,0.31594934,0.67035120,0.60179278,0.47324579,-1,-1,-1,-1
0.07190918,0.00680062,0.02763275,0.07561942,0.06727031,0.66666667,0.00000000,0.00000000,0.50547547,0.25390645,0.39449436,0.36756972,0.47669541,0.29023304,0.36970627,0.40057389,0.74867729,0.72974482,0.37924461,0.30159649,0.47638277,0.16919660,0.39275220,0.37840019,0.28406263,0.73010096,0.58536339,0.51193608,-1,-1,-1,-1
0.10965308,0.08855717,0.05788751,0.20773617,0.04467008,0.66666667,0.00000000,0.00000000,0.37914697,0.19910418,0.32169603,0.29403205,0.34699013,0.24494724,0.28173209,0.33353490,0.74076829,0.68836660,0.30467415,0.29109766,0.43276501,0.15052776,0.34520152,0.35439092,0.30724996,0.74170645,0.56375983,0.49675550,-1,-1,-1,-1
0.12931035,0.04597782,0.10576902,0.16015308,0.09414031,0.66666667,0.00000000,0.00000000,0.39413539,0.27868470,0.37095916,0.33985550,0.36661649,0.28981791,0.30266113,0.38426521,0.76781325,0.70571580,0.32428813,0.27743226,0.48288813,0.13229334,0.35150641,0.31376261,0.42648536,0.71382742,0.53933328,0.53122321,-1,-1,-1,-1
0.22056299,0.24363897,0.22112443,0.27971293,0.08760286,0.66666667,0.00000000,0.00000000,0.40403831,0.30189297,0.40413641,0.37139394,0.36713705,0.28269555,0.31611167,0.37665208,0.77731247,0.71127077,0.30210246,0.27173457,0.48920274,0.12774524,0.34155709,0.29284092,0.48566534,0.69446912,0.52631855,0.52301916,-1,-1,-1,-1
0.29647261,0.07921215,0.30008991,0.45161609,0.05627987,0.66666667,0.00000000,0.00000000,0.52592634,0.37995267,0.47495398,0.45142328,0.47841167,0.31075571,0.39835559,0.46686157,0.78697731,0.76529183,0.34180953,0.29861076,0.50061379,0.15316843,0.38206053,0.33842566,0.49778209,0.67144469,0.52386070,0.55077238,-1,-1,-1,-1
0.40546071,0.31528983,0.30909286,0.61188255,0.17875663,0.66666667,0.00000000,0.00000000,0.61234277,0.35316207,0.49911071,0.47351840,0.56032185,0.29794983,0.43730539,0.48263351,0.79360665,0.79569988,0.36434908,0.32246563,0.52471473,0.17964515,0.40750244,0.37253775,0.41593381,0.65446637,0.55889216,0.52425265,-1,-1,-1,-1
0.41686693,0.29058297,0.19375493,0.65132716,0.22581733,0.66666667,0.00000000,0.00000000,0.69327123,0.37918429,0.56333476,0.53644029,0.65706242,0.34465371,0.51166654,0.55951406,0.81177798,0.82507509,0.43005418,0.36311132,0.58703754,0.23754803,0.46321562,0.42423513,0.35743817,0.65538354,0.61106423,0.53139979,-1,-1,-1,-1
0.30078237,0.03913373,0.03155552,0.54162846,0.08725073,0.66666667,0.00000000,0.00000000,0.72697098,0.38179170,0.59082422,0.56821546,0.71081810,0.37862966,0.56046569,0.59639328,0.80215613,0.80418755,0.45985649,0.37380891,0.60389475,0.27295042,0.48716151,0.43557277,0.30302372,0.72547932,0.60840985,0.51315201,-1,-1,-1,-1
0.28752258,0.06785560,0.02542035,0.54780442,0.00779687,0.66666667,0.00000000,0.00000000,0.62830778,0.33251787,0.56886181,0.55799167,0.63933308,0.35314018,0.52970684,0.51648450,0.73734697,0.73086086,0.43638735,0.31884626,0.55426755,0.22674002,0.43145687,0.41825651,0.29129016,0.82343704,0.56380253,0.48974624,-1,-1,-1,-1
0.18058094,0.16375653,0.09627204,0.30354618,0.00000000,0.66666667,0.00000000,0.00000000,0.56067174,0.28954427,0.53522999,0.53335782,0.59105098,0.33109335,0.49328731,0.45619356,0.67783417,0.66227513,0.40112000,0.27647504,0.48696592,0.17890428,0.38456023,0.38538491,0.28706663,0.88931949,0.51182365,0.47060900,-1,-1,-1,-1
0.11816373,0.02855542,0.20835107,0.09928313,0.00355360,0.66666667,0.00000000,0.00000000,0.61381500,0.28550066,0.58492400,0.58991550,0.66029358,0.33978728,0.54700910,0.52642894,0.65328143,0.65736607,0.38992150,0.31033718,0.45791657,0.18105568,0.39941675,0.35964983,0.34731006,0.81443510,0.46896075,0.47014773,-1,-1,-1,-1
0.16883956,0.08118008,0.17207703,0.05233077,0.12961193,0.77777778,0.25000000,0.50000000,0.71551930,0.40019100,0.66251259,0.67126568,0.75884612,0.43161274,0.65939903,0.62326856,0.66707120,0.66342923,0.44917945,0.37370268,0.49222237,0.23008013,0.47746815,0.34513201,0.39764156,0.72448965,0.45986341,0.45702729,-1,1,-1,-1
0.21691815,0.02292957,0.12863180,0.19387310,0.18501311,0.77777778,0.50000000,0.00000000,0.78830563,0.43209189,0.73601040,0.75455461,0.82379353,0.45579689,0.74580219,0.63395525,0.66573118,0.63072382,0.49413065,0.39041540,0.56109487,0.25906609,0.51606936,0.33834325,0.45241217,0.69133559,0.42122535,0.46673887,-1,1,-1,-1
0.16898209,0.12676323,0.11960987,0.23949585,0.11790119,0.77777778,0.25000000,0.50000000,0.77474703,0.46941943,0.75779602,0.78223252,0.81466344,0.47465752,0.75184681,0.57500571,0.67812436,0.62550761,0.51812752,0.36892807,0.61386651,0.25398989,0.51798727,0.33551170,0.44296213,0.76176133,0.41829343,0.50133188,-1,1,-1,-1
